response number,"How often do you come across local clothing brands while using social media platforms (Instagram, Tiktok, Facebook)? ",Have you discovered local clothing brands through social media platforms?,"On a scale of 1 to 5, how influential is social media in shaping your awareness of local clothing brands? (1 being not influential, 5 being extremely influential)",What content on social media appeals to you the most when it comes to local clothing brands? (Select all that apply),what type of effect has social media had on your purchasing decisions related to local clothing brands
1,Frequently,Yes,1,Product showcases,Positive
2,Rarely,Yes,2,Product showcases;Customer reviews,Neutral
3,Frequently,Yes,4,Influencer collaborations,Positive
4,Occasionaly,Yes,5,Product showcases;Influencer collaborations;Limited-time promotions and discounts,Neutral
5,Occasionaly,Yes,4,Product showcases;Limited-time promotions and discounts,Neutral
6,Occasionaly,Yes,5,Product showcases;Limited-time promotions and discounts,Positive
7,Frequently,Yes,3,Behind-the-scenes content,Positive
8,Occasionaly,Yes,4,Product showcases,Positive
9,Frequently,Yes,5,Product showcases,Neutral
10,Rarely,Yes,3,Customer reviews;Limited-time promotions and discounts,Neutral
11,Occasionaly,Yes,4,Customer reviews,Neutral
12,Frequently,Yes,4,Influencer collaborations,Positive
13,Frequently,Yes,4,Product showcases;Customer reviews;Limited-time promotions and discounts,Positive
14,Occasionaly,Yes,3,Customer reviews,Positive
15,Frequently,Yes,5,Limited-time promotions and discounts,Positive
16,Frequently,Yes,4,Product showcases;Customer reviews;Behind-the-scenes content;Influencer collaborations;Limited-time promotions and discounts,Neutral
17,Rarely,Yes,2,Customer reviews;Influencer collaborations;Limited-time promotions and discounts,Neutral
18,Occasionaly,Yes,4,Customer reviews,Negative
19,Frequently,Yes,5,Product showcases;Customer reviews;Limited-time promotions and discounts,Positive
20,Occasionaly,Yes,4,Customer reviews,Neutral
21,Occasionaly,Yes,4,Product showcases,Neutral
22,Frequently,Yes,5,Product showcases;Influencer collaborations;Limited-time promotions and discounts,Positive
23,Occasionaly,Yes,4,Product showcases;Influencer collaborations;Limited-time promotions and discounts,Neutral
24,Frequently,Yes,3,Product showcases;Limited-time promotions and discounts,Neutral
25,Frequently,Yes,5,Product showcases,Positive
26,Frequently,Yes,5,Product showcases;Influencer collaborations;Limited-time promotions and discounts,Neutral
27,Frequently,Yes,5,Product showcases;Limited-time promotions and discounts,Positive
28,Rarely,No,1,Customer reviews,Neutral
29,Occasionaly,Yes,3,Product showcases;Behind-the-scenes content;Limited-time promotions and discounts,Neutral
30,Rarely,Yes,2,Influencer collaborations,Neutral
31,Frequently,Yes,4,Product showcases;Influencer collaborations;Limited-time promotions and discounts,Positive
32,Frequently,Yes,4,Influencer collaborations,Positive
33,Frequently,Yes,2,Product showcases;Customer reviews;Limited-time promotions and discounts,Neutral
34,Frequently,Yes,3,Product showcases;Influencer collaborations;Limited-time promotions and discounts,Positive
35,Frequently,Yes,3,Product showcases;Limited-time promotions and discounts,Neutral
36,Occasionaly,Yes,5,Behind-the-scenes content,Neutral
37,Frequently,Yes,3,Behind-the-scenes content,Negative
38,Occasionaly,Yes,1,Product showcases;Behind-the-scenes content,Neutral
39,Frequently,Yes,3,Customer reviews;Influencer collaborations,Neutral
40,Frequently,Yes,4,Product showcases;Customer reviews;Influencer collaborations;Limited-time promotions and discounts,Positive
41,Occasionaly,Yes,4,Product showcases;Customer reviews;Limited-time promotions and discounts,Neutral
42,Occasionaly,Yes,4,Product showcases;Limited-time promotions and discounts,Neutral
43,Frequently,Yes,5,Customer reviews,Positive
44,Rarely,Yes,5,Limited-time promotions and discounts,Neutral
45,Frequently,Yes,3,Customer reviews,Positive
46,Frequently,Yes,5,Customer reviews,Positive
47,Frequently,Yes,3,Product showcases;Customer reviews;Behind-the-scenes content;Limited-time promotions and discounts,Neutral
48,Frequently,Yes,4,Limited-time promotions and discounts,Positive
49,Occasionaly,Yes,3,Product showcases,Neutral
50,Rarely,Yes,2,Customer reviews;Limited-time promotions and discounts,Neutral
51,Frequently,Yes,4,Product showcases;Behind-the-scenes content;Limited-time promotions and discounts,Positive
52,Frequently,Yes,4,Product showcases;Customer reviews;Behind-the-scenes content,Positive
